Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
NeuroticismFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-NeuroticismFU3,0.6712589605734768,0.07026263630396863,0.63366455453149,0.07166180148398944,-0.03759440604198683,0.019511703245678663,h5causal0,Personality
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-last12mntFU3,0.6531135830530993,0.06410567366332978,0.6167056313225668,0.06718397403991551,-0.03640795173053246,0.02725926518414403,h5causal0,Alcohol
Drug_abuse_screening_parent,BL,SVM-rbf,posthoc-cc3-h5causal0-Drug_abuse_screening_parent,0.6588581669226831,0.07211627922335112,0.6240559395801331,0.07722867480779555,-0.03480222734255001,0.04886757851617667,h5causal0,Familial risk
AgreeablenessFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-AgreeablenessFU3,0.6712589605734768,0.07026263630396863,0.6365367383512545,0.08223696183867682,-0.03472222222222232,0.03422678954310469,h5causal0,Personality
Accident_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Accident_val,0.6852189397264282,0.08166247221011963,0.6505300910686855,0.09769354858947948,-0.03468884865774269,0.03637039164903131,h5causal0,Biographic
Enhancement_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Enhancement_drinking_motiveFU3,0.6531135830530993,0.06410567366332978,0.6198967544733673,0.06573035231659245,-0.03321682857973196,0.08122275644774499,h5causal0,Alcohol
Impulsivity_BISFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Impulsivity_BISFU3,0.667542608441226,0.02498896043114602,0.635307859703021,0.04355962559779954,-0.03223474873820509,0.026479138309548622,h5causal0,Personality
Alc-last12mnt,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-last12mnt,0.6531135830530993,0.06410567366332978,0.6209219011638367,0.06767529192056779,-0.03219168188926258,0.05356670933570051,h5causal0,Alcohol
HopelessnessFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-HopelessnessFU3,0.675251216077829,0.03817341287040267,0.6434731822836662,0.04207418035296645,-0.031778033794162774,0.04795733837401549,h5causal0,Personality
Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc_lastmnt_TLFBFU3,0.6193701618578465,0.05080653407115055,0.5878293846274142,0.0733034345230813,-0.03154077723043236,0.038806251685227285,h5causal0,Alcohol
Autonomy_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Autonomy_val,0.6852189397264282,0.08166247221011963,0.6542569581596079,0.036863580366453326,-0.030961981566820285,0.04844540334124888,h5causal0,Biographic
Distress_freq,BL,SVM-rbf,posthoc-cc3-h5causal0-Distress_freq,0.6852189397264282,0.08166247221011963,0.655152329749104,0.09300717168999251,-0.030066609977324243,0.022613227140169705,h5causal0,Biographic
Neuroticism,BL,SVM-rbf,posthoc-cc3-h5causal0-Neuroticism,0.6531135830530993,0.06410567366332978,0.6238861989870055,0.04698821509970862,-0.02922738406609382,0.0316373193061387,h5causal0,Personality
Family_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Family_val,0.6852189397264282,0.08166247221011963,0.6560250713188501,0.05490563118961993,-0.029193868407578094,0.056935750541486384,h5causal0,Biographic
